%% Dataset about positive and negative movie reviews
@relation review_type
@attribute number_of_words numeric
@attribute number_of_positive_words numeric
@attribute number_of_negative_words numeric
@attribute percent_of_positive_words numeric
@attribute percent_of_negative_words numeric
@attribute positive_minus_negative numeric
@attribute review {positive, negative}
@data
168,6,4,0.03571428571428571,0.023809523809523808,2,negative
234,11,11,0.04700854700854701,0.04700854700854701,0,negative
225,5,12,0.022222222222222223,0.05333333333333334,-7,negative
308,13,12,0.04220779220779221,0.03896103896103896,1,negative
242,16,14,0.06611570247933884,0.05785123966942149,2,negative
116,1,6,0.008620689655172414,0.05172413793103448,-5,negative
164,2,9,0.012195121951219513,0.054878048780487805,-7,negative
140,3,9,0.02142857142857143,0.06428571428571428,-6,negative
129,4,5,0.031007751937984496,0.03875968992248062,-1,negative
161,7,3,0.043478260869565216,0.018633540372670808,4,negative
113,4,8,0.035398230088495575,0.07079646017699115,-4,negative
339,15,8,0.04424778761061947,0.02359882005899705,7,negative
247,10,8,0.04048582995951417,0.032388663967611336,2,negative
112,5,6,0.044642857142857144,0.05357142857142857,-1,negative
185,8,15,0.043243243243243246,0.08108108108108109,-7,negative
213,9,16,0.04225352112676056,0.07511737089201878,-7,negative
148,3,9,0.02027027027027027,0.060810810810810814,-6,negative
196,11,4,0.05612244897959184,0.02040816326530612,7,negative
350,6,11,0.017142857142857144,0.03142857142857143,-5,negative
78,3,1,0.038461538461538464,0.01282051282051282,2,negative
67,2,3,0.029850746268656716,0.04477611940298507,-1,negative
181,4,15,0.022099447513812154,0.08287292817679558,-11,negative
552,25,22,0.04528985507246377,0.03985507246376811,3,negative
401,6,14,0.014962593516209476,0.034912718204488775,-8,negative
263,11,15,0.04182509505703422,0.057034220532319393,-4,negative
232,14,14,0.0603448275862069,0.0603448275862069,0,negative
195,10,4,0.05128205128205128,0.020512820512820513,6,negative
684,23,19,0.033625730994152045,0.027777777777777776,4,negative
460,9,28,0.01956521739130435,0.06086956521739131,-19,negative
270,6,9,0.022222222222222223,0.03333333333333333,-3,negative
131,3,3,0.022900763358778626,0.022900763358778626,0,negative
161,8,11,0.049689440993788817,0.06832298136645963,-3,negative
382,7,32,0.01832460732984293,0.08376963350785341,-25,negative
208,5,6,0.02403846153846154,0.028846153846153848,-1,negative
347,5,13,0.01440922190201729,0.037463976945244955,-8,negative
245,6,12,0.024489795918367346,0.04897959183673469,-6,negative
298,12,5,0.040268456375838924,0.016778523489932886,7,negative
123,2,5,0.016260162601626018,0.04065040650406504,-3,negative
352,8,20,0.022727272727272728,0.056818181818181816,-12,negative
210,5,13,0.023809523809523808,0.06190476190476191,-8,negative
124,2,8,0.016129032258064516,0.06451612903225806,-6,negative
